GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JMAE001,NAME_M,JMAM001
G250005068750,2006-2010,,,Massachusetts,25,Bristol County,5,Swansea town,68750,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swansea town, Bristol County, Massachusetts",15900,"Swansea town, Bristol County, Massachusetts",20
G250005069170,2006-2010,,,Massachusetts,25,Bristol County,5,Taunton city,69170,,,,,,,,,,,,,,,,,,,,,,,,,,,"Taunton city, Bristol County, Massachusetts",55954,"Taunton city, Bristol County, Massachusetts",28
G250005077570,2006-2010,,,Massachusetts,25,Bristol County,5,Westport town,77570,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westport town, Bristol County, Massachusetts",15298,"Westport town, Bristol County, Massachusetts",19
G250007001585,2006-2010,,,Massachusetts,25,Dukes County,7,Aquinnah town,1585,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aquinnah town, Dukes County, Massachusetts",404,"Aquinnah town, Dukes County, Massachusetts",144
G250007013800,2006-2010,,,Massachusetts,25,Dukes County,7,Chilmark town,13800,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilmark town, Dukes County, Massachusetts",1014,"Chilmark town, Dukes County, Massachusetts",234
G250007021150,2006-2010,,,Massachusetts,25,Dukes County,7,Edgartown town,21150,,,,,,,,,,,,,,,,,,,,,,,,,,,"Edgartown town, Dukes County, Massachusetts",3984,"Edgartown town, Dukes County, Massachusetts",20
G250007026325,2006-2010,,,Massachusetts,25,Dukes County,7,Gosnold town,26325,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gosnold town, Dukes County, Massachusetts",198,"Gosnold town, Dukes County, Massachusetts",77
G250007050390,2006-2010,,,Massachusetts,25,Dukes County,7,Oak Bluffs town,50390,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oak Bluffs town, Dukes County, Massachusetts",4364,"Oak Bluffs town, Dukes County, Massachusetts",17
G250007069940,2006-2010,,,Massachusetts,25,Dukes County,7,Tisbury town,69940,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tisbury town, Dukes County, Massachusetts",3886,"Tisbury town, Dukes County, Massachusetts",26
G250007078235,2006-2010,,,Massachusetts,25,Dukes County,7,West Tisbury town,78235,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Tisbury town, Dukes County, Massachusetts",2305,"West Tisbury town, Dukes County, Massachusetts",282
G250009000000,2006-2010,,,Massachusetts,25,Essex County,9,County subdivisions not defined,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"County subdivisions not defined, Essex County, Massachusetts",0,"County subdivisions not defined, Essex County, Massachusetts",127
G250009001260,2006-2010,,,Massachusetts,25,Essex County,9,Amesbury Town city,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amesbury Town city, Essex County, Massachusetts",16225,"Amesbury Town city, Essex County, Massachusetts",18
G250009001465,2006-2010,,,Massachusetts,25,Essex County,9,Andover town,1465,,,,,,,,,,,,,,,,,,,,,,,,,,,"Andover town, Essex County, Massachusetts",32698,"Andover town, Essex County, Massachusetts",40
G250009005595,2006-2010,,,Massachusetts,25,Essex County,9,Beverly city,5595,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beverly city, Essex County, Massachusetts",39351,"Beverly city, Essex County, Massachusetts",29
G250009007420,2006-2010,,,Massachusetts,25,Essex County,9,Boxford town,7420,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boxford town, Essex County, Massachusetts",7917,"Boxford town, Essex County, Massachusetts",32
G250009016250,2006-2010,,,Massachusetts,25,Essex County,9,Danvers town,16250,,,,,,,,,,,,,,,,,,,,,,,,,,,"Danvers town, Essex County, Massachusetts",26113,"Danvers town, Essex County, Massachusetts",22
G250009021850,2006-2010,,,Massachusetts,25,Essex County,9,Essex town,21850,,,,,,,,,,,,,,,,,,,,,,,,,,,"Essex town, Essex County, Massachusetts",3445,"Essex town, Essex County, Massachusetts",14
G250009025625,2006-2010,,,Massachusetts,25,Essex County,9,Georgetown town,25625,,,,,,,,,,,,,,,,,,,,,,,,,,,"Georgetown town, Essex County, Massachusetts",7995,"Georgetown town, Essex County, Massachusetts",18
G250009026150,2006-2010,,,Massachusetts,25,Essex County,9,Gloucester city,26150,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gloucester city, Essex County, Massachusetts",28893,"Gloucester city, Essex County, Massachusetts",26
G250009027620,2006-2010,,,Massachusetts,25,Essex County,9,Groveland town,27620,,,,,,,,,,,,,,,,,,,,,,,,,,,"Groveland town, Essex County, Massachusetts",6350,"Groveland town, Essex County, Massachusetts",17
G250009027900,2006-2010,,,Massachusetts,25,Essex County,9,Hamilton town,27900,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hamilton town, Essex County, Massachusetts",7825,"Hamilton town, Essex County, Massachusetts",28
G250009029405,2006-2010,,,Massachusetts,25,Essex County,9,Haverhill city,29405,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haverhill city, Essex County, Massachusetts",60203,"Haverhill city, Essex County, Massachusetts",43
G250009032310,2006-2010,,,Massachusetts,25,Essex County,9,Ipswich town,32310,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ipswich town, Essex County, Massachusetts",13074,"Ipswich town, Essex County, Massachusetts",24
G250009034550,2006-2010,,,Massachusetts,25,Essex County,9,Lawrence city,34550,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence city, Essex County, Massachusetts",75177,"Lawrence city, Essex County, Massachusetts",61
G250009037490,2006-2010,,,Massachusetts,25,Essex County,9,Lynn city,37490,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lynn city, Essex County, Massachusetts",89625,"Lynn city, Essex County, Massachusetts",72
G250009037560,2006-2010,,,Massachusetts,25,Essex County,9,Lynnfield town,37560,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lynnfield town, Essex County, Massachusetts",11487,"Lynnfield town, Essex County, Massachusetts",25
G250009037995,2006-2010,,,Massachusetts,25,Essex County,9,Manchester-by-the-Sea town,37995,,,,,,,,,,,,,,,,,,,,,,,,,,,"Manchester-by-the-Sea town, Essex County, Massachusetts",5129,"Manchester-by-the-Sea town, Essex County, Massachusetts",31
G250009038400,2006-2010,,,Massachusetts,25,Essex County,9,Marblehead town,38400,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marblehead town, Essex County, Massachusetts",19797,"Marblehead town, Essex County, Massachusetts",22
G250009040430,2006-2010,,,Massachusetts,25,Essex County,9,Merrimac town,40430,,,,,,,,,,,,,,,,,,,,,,,,,,,"Merrimac town, Essex County, Massachusetts",6264,"Merrimac town, Essex County, Massachusetts",18
G250009040710,2006-2010,,,Massachusetts,25,Essex County,9,Methuen Town city,40710,,,,,,,,,,,,,,,,,,,,,,,,,,,"Methuen Town city, Essex County, Massachusetts",46393,"Methuen Town city, Essex County, Massachusetts",49
G250009041095,2006-2010,,,Massachusetts,25,Essex County,9,Middleton town,41095,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middleton town, Essex County, Massachusetts",8717,"Middleton town, Essex County, Massachusetts",25
G250009043580,2006-2010,,,Massachusetts,25,Essex County,9,Nahant town,43580,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nahant town, Essex County, Massachusetts",3431,"Nahant town, Essex County, Massachusetts",15
G250009045175,2006-2010,,,Massachusetts,25,Essex County,9,Newbury town,45175,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newbury town, Essex County, Massachusetts",6643,"Newbury town, Essex County, Massachusetts",28
G250009045245,2006-2010,,,Massachusetts,25,Essex County,9,Newburyport city,45245,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newburyport city, Essex County, Massachusetts",17288,"Newburyport city, Essex County, Massachusetts",24
G250009046365,2006-2010,,,Massachusetts,25,Essex County,9,North Andover town,46365,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Andover town, Essex County, Massachusetts",27965,"North Andover town, Essex County, Massachusetts",24
G250009052490,2006-2010,,,Massachusetts,25,Essex County,9,Peabody city,52490,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peabody city, Essex County, Massachusetts",50455,"Peabody city, Essex County, Massachusetts",30
G250009057880,2006-2010,,,Massachusetts,25,Essex County,9,Rockport town,57880,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rockport town, Essex County, Massachusetts",7053,"Rockport town, Essex County, Massachusetts",28
G250009058405,2006-2010,,,Massachusetts,25,Essex County,9,Rowley town,58405,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rowley town, Essex County, Massachusetts",5757,"Rowley town, Essex County, Massachusetts",19
G250009059105,2006-2010,,,Massachusetts,25,Essex County,9,Salem city,59105,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salem city, Essex County, Massachusetts",40964,"Salem city, Essex County, Massachusetts",38
G250009059245,2006-2010,,,Massachusetts,25,Essex County,9,Salisbury town,59245,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salisbury town, Essex County, Massachusetts",8157,"Salisbury town, Essex County, Massachusetts",18
G250009060015,2006-2010,,,Massachusetts,25,Essex County,9,Saugus town,60015,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saugus town, Essex County, Massachusetts",26392,"Saugus town, Essex County, Massachusetts",26
G250009068645,2006-2010,,,Massachusetts,25,Essex County,9,Swampscott town,68645,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swampscott town, Essex County, Massachusetts",13819,"Swampscott town, Essex County, Massachusetts",22
G250009070150,2006-2010,,,Massachusetts,25,Essex County,9,Topsfield town,70150,,,,,,,,,,,,,,,,,,,,,,,,,,,"Topsfield town, Essex County, Massachusetts",6057,"Topsfield town, Essex County, Massachusetts",23
G250009074595,2006-2010,,,Massachusetts,25,Essex County,9,Wenham town,74595,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wenham town, Essex County, Massachusetts",4794,"Wenham town, Essex County, Massachusetts",28
G250009077150,2006-2010,,,Massachusetts,25,Essex County,9,West Newbury town,77150,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Newbury town, Essex County, Massachusetts",4189,"West Newbury town, Essex County, Massachusetts",21
G250011002095,2006-2010,,,Massachusetts,25,Franklin County,11,Ashfield town,2095,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ashfield town, Franklin County, Massachusetts",1732,"Ashfield town, Franklin County, Massachusetts",150
G250011005560,2006-2010,,,Massachusetts,25,Franklin County,11,Bernardston town,5560,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bernardston town, Franklin County, Massachusetts",2241,"Bernardston town, Franklin County, Massachusetts",180
G250011009595,2006-2010,,,Massachusetts,25,Franklin County,11,Buckland town,9595,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buckland town, Franklin County, Massachusetts",2068,"Buckland town, Franklin County, Massachusetts",258
