GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELM,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,RLAE001,RLAE002,RLAE003,RLAE004,RLAE005,RLAE006,RLAE007,RLAE008,RLAE009,RLAE010,NAME_M,RLAM001,RLAM002,RLAM003,RLAM004,RLAM005,RLAM006,RLAM007,RLAM008,RLAM009,RLAM010
G25011670,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Topsfield School District,11670,,,,"Topsfield School District, Massachusetts",6096,6017,0,42,25,0,12,0,0,0,"Topsfield School District, Massachusetts",15,61,127,48,29,127,19,127,127,127
G25011730,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Truro School District,11730,,,,"Truro School District, Massachusetts",1938,1938,0,0,0,0,0,0,0,0,"Truro School District, Massachusetts",331,331,127,127,127,127,127,127,127,127
G25011940,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Wales School District,11940,,,,"Wales School District, Massachusetts",2143,2081,12,14,0,0,0,36,0,36,"Wales School District, Massachusetts",245,238,19,16,127,127,127,46,127,46
G25012300,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Wellfleet School District,12300,,,,"Wellfleet School District, Massachusetts",3041,2991,0,0,0,0,14,36,0,36,"Wellfleet School District, Massachusetts",330,330,127,127,127,127,21,50,127,50
G25012570,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Tisbury School District,12570,,,,"Tisbury School District, Massachusetts",3884,3343,47,54,0,0,428,12,0,12,"Tisbury School District, Massachusetts",14,520,52,37,127,127,536,20,127,20
G25012690,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Westhampton School District,12690,,,,"Westhampton School District, Massachusetts",1824,1740,42,0,0,0,36,6,3,3,"Westhampton School District, Massachusetts",195,180,65,127,127,127,54,7,5,5
G25012870,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Whately School District,12870,,,,"Whately School District, Massachusetts",1588,1502,10,0,0,0,8,68,0,68,"Whately School District, Massachusetts",241,231,17,127,127,127,16,56,127,56
G25012990,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Williamsburg School District,12990,,,,"Williamsburg School District, Massachusetts",2477,2425,17,10,6,0,0,19,10,9,"Williamsburg School District, Massachusetts",17,36,17,12,9,127,127,19,14,14
G25013020,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Williamstown School District,13020,,,,"Williamstown School District, Massachusetts",8097,7193,151,13,597,0,49,94,0,94,"Williamstown School District, Massachusetts",23,286,109,19,225,127,58,83,127,83
G25013290,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Wrentham School District,13290,,,,"Wrentham School District, Massachusetts",11106,10810,218,0,34,0,0,44,0,44,"Wrentham School District, Massachusetts",50,257,220,127,54,127,127,57,127,57
G25099999,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Remainder of Massachusetts,99999,,,,"Remainder of Massachusetts, Massachusetts",6092795,5006806,392151,11789,296808,2321,265947,116973,23304,93669,"Remainder of Massachusetts, Massachusetts",618,5948,3407,999,1868,459,6754,3596,1700,3162
