GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JMBE001,JMBE002,JMBE003,JMBE004,JMBE005,JMBE006,JMBE007,JMBE008,JMBE009,JMBE010,NAME_M,JMBM001,JMBM002,JMBM003,JMBM004,JMBM005,JMBM006,JMBM007,JMBM008,JMBM009,JMBM010
G250005002690,2006-2010,,,Massachusetts,25,Bristol County,5,Attleboro city,2690,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attleboro city, Bristol County, Massachusetts",43355,38474,1168,43,2173,100,761,636,60,576,"Attleboro city, Bristol County, Massachusetts",36,763,513,58,568,157,315,246,54,237
G250005005280,2006-2010,,,Massachusetts,25,Bristol County,5,Berkley town,5280,,,,,,,,,,,,,,,,,,,,,,,,,,,"Berkley town, Bristol County, Massachusetts",6306,6137,51,0,10,0,18,90,54,36,"Berkley town, Bristol County, Massachusetts",43,153,65,127,16,127,29,94,82,44
G250005016425,2006-2010,,,Massachusetts,25,Bristol County,5,Dartmouth town,16425,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dartmouth town, Bristol County, Massachusetts",33517,31364,389,0,642,0,545,577,172,405,"Dartmouth town, Bristol County, Massachusetts",26,454,143,127,278,127,235,265,123,210
G250005016950,2006-2010,,,Massachusetts,25,Bristol County,5,Dighton town,16950,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dighton town, Bristol County, Massachusetts",6923,6826,0,33,34,0,0,30,0,30,"Dighton town, Bristol County, Massachusetts",15,116,127,56,56,127,127,38,127,38
G250005020100,2006-2010,,,Massachusetts,25,Bristol County,5,Easton town,20100,,,,,,,,,,,,,,,,,,,,,,,,,,,"Easton town, Bristol County, Massachusetts",23016,21573,609,0,322,0,234,278,76,202,"Easton town, Bristol County, Massachusetts",24,413,319,127,196,127,139,164,55,155
G250005022130,2006-2010,,,Massachusetts,25,Bristol County,5,Fairhaven town,22130,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairhaven town, Bristol County, Massachusetts",15934,15403,77,12,94,0,93,255,34,221,"Fairhaven town, Bristol County, Massachusetts",23,171,82,23,98,127,79,137,43,125
G250005023000,2006-2010,,,Massachusetts,25,Bristol County,5,Fall River city,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fall River city, Bristol County, Massachusetts",89482,79920,2337,158,2189,0,2642,2236,237,1999,"Fall River city, Bristol County, Massachusetts",48,1033,572,101,609,127,581,462,127,440
G250005025240,2006-2010,,,Massachusetts,25,Bristol County,5,Freetown town,25240,,,,,,,,,,,,,,,,,,,,,,,,,,,"Freetown town, Bristol County, Massachusetts",8796,8462,173,18,0,0,108,35,0,35,"Freetown town, Bristol County, Massachusetts",44,211,178,28,127,127,94,55,127,55
G250005038225,2006-2010,,,Massachusetts,25,Bristol County,5,Mansfield town,38225,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mansfield town, Bristol County, Massachusetts",23051,21040,680,8,992,0,54,277,11,266,"Mansfield town, Bristol County, Massachusetts",53,522,365,13,348,127,45,187,17,186
G250005045000,2006-2010,,,Massachusetts,25,Bristol County,5,New Bedford city,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Bedford city, Bristol County, Massachusetts",94945,74378,7303,291,1077,36,8083,3777,1752,2025,"New Bedford city, Bristol County, Massachusetts",42,1335,976,132,385,45,1025,541,338,389
G250005046575,2006-2010,,,Massachusetts,25,Bristol County,5,North Attleborough town,46575,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Attleborough town, Bristol County, Massachusetts",28483,26979,230,0,675,0,335,264,0,264,"North Attleborough town, Bristol County, Massachusetts",37,474,148,127,335,127,296,130,127,130
G250005049970,2006-2010,,,Massachusetts,25,Bristol County,5,Norton town,49970,,,,,,,,,,,,,,,,,,,,,,,,,,,"Norton town, Bristol County, Massachusetts",18880,17443,754,9,316,0,31,327,50,277,"Norton town, Bristol County, Massachusetts",55,534,498,15,205,127,34,185,41,176
G250005056060,2006-2010,,,Massachusetts,25,Bristol County,5,Raynham town,56060,,,,,,,,,,,,,,,,,,,,,,,,,,,"Raynham town, Bristol County, Massachusetts",13085,12295,304,0,63,0,151,272,93,179,"Raynham town, Bristol County, Massachusetts",25,371,277,127,62,127,114,173,135,115
G250005056375,2006-2010,,,Massachusetts,25,Bristol County,5,Rehoboth town,56375,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rehoboth town, Bristol County, Massachusetts",11349,11013,28,0,113,0,22,173,17,156,"Rehoboth town, Bristol County, Massachusetts",21,174,44,127,102,127,36,125,20,125
G250005060645,2006-2010,,,Massachusetts,25,Bristol County,5,Seekonk town,60645,,,,,,,,,,,,,,,,,,,,,,,,,,,"Seekonk town, Bristol County, Massachusetts",13686,12949,231,0,99,0,98,309,149,160,"Seekonk town, Bristol County, Massachusetts",24,327,149,127,84,127,113,225,185,127
G250005062430,2006-2010,,,Massachusetts,25,Bristol County,5,Somerset town,62430,,,,,,,,,,,,,,,,,,,,,,,,,,,"Somerset town, Bristol County, Massachusetts",18185,17451,162,0,204,0,112,256,10,246,"Somerset town, Bristol County, Massachusetts",23,303,159,127,122,127,79,159,17,158
G250005068750,2006-2010,,,Massachusetts,25,Bristol County,5,Swansea town,68750,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swansea town, Bristol County, Massachusetts",15900,15271,76,0,159,0,56,338,68,270,"Swansea town, Bristol County, Massachusetts",20,327,65,127,154,127,70,259,84,260
G250005069170,2006-2010,,,Massachusetts,25,Bristol County,5,Taunton city,69170,,,,,,,,,,,,,,,,,,,,,,,,,,,"Taunton city, Bristol County, Massachusetts",55954,49085,3539,283,612,0,1481,954,147,807,"Taunton city, Bristol County, Massachusetts",28,1009,779,162,352,127,521,312,137,273
G250005077570,2006-2010,,,Massachusetts,25,Bristol County,5,Westport town,77570,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westport town, Bristol County, Massachusetts",15298,14856,125,0,98,0,23,196,0,196,"Westport town, Bristol County, Massachusetts",19,218,115,127,67,127,31,119,127,119
G250007001585,2006-2010,,,Massachusetts,25,Dukes County,7,Aquinnah town,1585,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aquinnah town, Dukes County, Massachusetts",404,134,3,239,0,0,0,28,0,28,"Aquinnah town, Dukes County, Massachusetts",144,41,5,131,127,127,127,26,127,26
G250007013800,2006-2010,,,Massachusetts,25,Dukes County,7,Chilmark town,13800,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilmark town, Dukes County, Massachusetts",1014,979,18,0,0,0,5,12,8,4,"Chilmark town, Dukes County, Massachusetts",234,230,25,127,127,127,8,13,11,7
G250007021150,2006-2010,,,Massachusetts,25,Dukes County,7,Edgartown town,21150,,,,,,,,,,,,,,,,,,,,,,,,,,,"Edgartown town, Dukes County, Massachusetts",3984,3948,0,0,12,0,0,24,0,24,"Edgartown town, Dukes County, Massachusetts",20,56,127,127,19,127,127,37,127,37
G250007026325,2006-2010,,,Massachusetts,25,Dukes County,7,Gosnold town,26325,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gosnold town, Dukes County, Massachusetts",198,194,4,0,0,0,0,0,0,0,"Gosnold town, Dukes County, Massachusetts",77,78,7,127,127,127,127,127,127,127
G250007050390,2006-2010,,,Massachusetts,25,Dukes County,7,Oak Bluffs town,50390,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oak Bluffs town, Dukes County, Massachusetts",4364,3392,424,0,43,0,357,148,0,148,"Oak Bluffs town, Dukes County, Massachusetts",17,425,364,127,51,127,248,134,127,134
G250007069940,2006-2010,,,Massachusetts,25,Dukes County,7,Tisbury town,69940,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tisbury town, Dukes County, Massachusetts",3886,3300,67,45,0,0,446,28,0,28,"Tisbury town, Dukes County, Massachusetts",26,584,73,51,127,127,617,33,127,33
G250007078235,2006-2010,,,Massachusetts,25,Dukes County,7,West Tisbury town,78235,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Tisbury town, Dukes County, Massachusetts",2305,2204,43,0,0,0,37,21,0,21,"West Tisbury town, Dukes County, Massachusetts",282,286,63,127,127,127,47,22,127,22
G250009000000,2006-2010,,,Massachusetts,25,Essex County,9,County subdivisions not defined,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"County subdivisions not defined, Essex County, Massachusetts",0,0,0,0,0,0,0,0,0,0,"County subdivisions not defined, Essex County, Massachusetts",127,127,127,127,127,127,127,127,127,127
G250009001260,2006-2010,,,Massachusetts,25,Essex County,9,Amesbury Town city,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amesbury Town city, Essex County, Massachusetts",16225,15663,67,0,100,0,133,262,27,235,"Amesbury Town city, Essex County, Massachusetts",18,198,39,127,110,127,99,131,31,127
G250009001465,2006-2010,,,Massachusetts,25,Essex County,9,Andover town,1465,,,,,,,,,,,,,,,,,,,,,,,,,,,"Andover town, Essex County, Massachusetts",32698,28392,333,30,3005,54,347,537,78,459,"Andover town, Essex County, Massachusetts",40,566,192,36,400,79,188,216,83,209
