GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELM,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,RNGE001,RNGE002,RNGE003,RNGE004,RNGE005,RNGE006,RNGE007,RNGE008,RNGE009,RNGE010,RNGE011,RNGE012,RNGE013,RNGE014,RNGE015,RNGE016,RNGE017,NAME_M,RNGM001,RNGM002,RNGM003,RNGM004,RNGM005,RNGM006,RNGM007,RNGM008,RNGM009,RNGM010,RNGM011,RNGM012,RNGM013,RNGM014,RNGM015,RNGM016,RNGM017
G25011730,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Truro School District,11730,,,,"Truro School District, Massachusetts",879,73,35,17,19,33,53,50,31,41,96,12,205,97,39,20,58,"Truro School District, Massachusetts",140,55,36,20,19,29,50,48,22,40,62,14,87,61,39,22,42
G25011940,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Wales School District,11940,,,,"Wales School District, Massachusetts",876,24,24,46,72,21,70,37,31,28,84,88,120,102,61,64,4,"Wales School District, Massachusetts",92,18,12,29,49,12,36,24,14,16,41,28,42,41,41,28,6
G25012300,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Wellfleet School District,12300,,,,"Wellfleet School District, Massachusetts",1593,12,123,30,74,17,52,190,51,67,123,184,249,112,102,121,86,"Wellfleet School District, Massachusetts",195,20,83,32,70,27,41,218,48,74,98,111,113,73,84,92,55
G25012570,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Tisbury School District,12570,,,,"Tisbury School District, Massachusetts",1432,92,89,68,36,87,125,39,34,46,170,129,165,203,64,58,27,"Tisbury School District, Massachusetts",226,74,60,67,43,64,94,42,31,49,102,83,85,95,58,57,21
G25012690,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Westhampton School District,12690,,,,"Westhampton School District, Massachusetts",696,18,13,17,12,17,31,34,41,21,32,80,184,89,66,31,10,"Westhampton School District, Massachusetts",65,12,11,17,9,14,19,24,17,16,12,25,56,27,30,21,8
G25012870,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Whately School District,12870,,,,"Whately School District, Massachusetts",657,0,24,26,11,27,20,23,36,18,77,81,143,81,15,51,24,"Whately School District, Massachusetts",83,127,20,14,10,18,12,21,26,12,42,39,51,38,11,33,15
G25012990,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Williamsburg School District,12990,,,,"Williamsburg School District, Massachusetts",1074,68,7,17,88,27,45,19,27,70,118,114,217,86,48,74,49,"Williamsburg School District, Massachusetts",86,43,11,26,50,20,29,16,19,40,49,38,50,43,25,38,25
G25013020,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Williamstown School District,13020,,,,"Williamstown School District, Massachusetts",2881,187,184,104,183,72,111,132,109,87,249,244,295,253,186,267,218,"Williamstown School District, Massachusetts",301,88,72,55,78,47,60,88,61,49,96,85,87,100,70,82,84
G25013290,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Wrentham School District,13290,,,,"Wrentham School District, Massachusetts",3867,85,51,136,95,102,92,98,37,157,228,521,424,369,439,443,590,"Wrentham School District, Massachusetts",163,74,41,87,53,62,55,46,35,84,100,159,119,131,123,137,135
G25099999,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Remainder of Massachusetts,99999,,,,"Remainder of Massachusetts, Massachusetts",2318165,162034,118758,99387,95916,91093,94980,87990,94611,83424,170931,232931,317887,229874,146812,150877,140660,"Remainder of Massachusetts, Massachusetts",4905,3007,2420,2085,2115,2191,2103,2476,2174,2250,3327,3204,3569,3036,2658,2592,2136
